Player,ano,GPos3CONE,cp1,altura,peso,3Cone
Eric Page,2012,g12,29.1967687444831,175.26,84.368112,6.95
Virgil Green,2011,g11,-2.21060739170585,190.5,112.944408,6.9
Evan Royster,2011,g11,15.9142642255062,182.88,96.161504,7.07
David Irons,2007,g12,26.8236047949845,177.8,86.18248,7.18
Shay Hodge,2010,g12,16.6226066112481,185.42,94.800728,6.9
Avery Williamson,2014,g11,0.334644553548169,185.42,111.583632,7.11
Cedric Humes,2006,g11,8.69873317777245,185.42,102.965384,7.07
Kevin Peterson,2016,g12,30.7855415117223,177.8,82.100152,6.94
Titus Adams,2006,g10,-27.3028732643787,190.5,138.799152,7.49
Danny Watkins,2011,g10,-29.0637340273733,190.5,140.61352,7.61
Dante Fowler,2015,g11,-7.49318968068962,190.5,118.387512,7.4
Audie Cole,2012,g11,-1.50226500596395,193.04,111.583632,6.96
Lance Kendricks,2011,g11,0.430683752786034,190.5,110.222856,6.94
Spencer Drango,2016,g10,-33.1017195406287,198.12,142.88148,7.88
C.J. Gaddis,2007,g12,20.4885041287481,180.34,92.079176,7.28
Chad Clifton,2000,g10,-40.8535049783489,195.58,151.499728,7.58
Maurkice Pouncey,2010,g10,-27.0347460693855,193.04,137.891968,7.74
Mario Henderson,2007,g10,-27.3789220608962,198.12,136.984784,7.6
Mason Foster,2011,g11,0.774859744296816,185.42,111.13004,7.14
Brian Allen,2002,g11,19.0718193572643,175.26,94.800728,6.9
Cory Harkey,2012,g11,-7.66527767644501,193.04,117.93392,7.4
Chris Cooley,2004,g11,-9.25405044368421,190.5,120.20188,7.21
Colby Parkinson,2020,g11,-5.98046570996795,200.66,114.305184,7.15
Andrew Datko,2012,g10,-33.1017195406287,198.12,142.88148,7.71
Scott Shanle,2003,g11,0.162556557792777,187.96,111.13004,7.27
Derek Wolfe,2012,g10,-23.6851125391517,195.58,133.80964,7.26
Harrison Phillips,2018,g10,-28.3553916416314,193.04,139.252744,7.28
Jared Abbrederis,2014,g12,22.7856192817292,185.42,88.45044,6.8
Terna Nande,2006,g11,7.10996041053326,182.88,105.233344,6.97
Trevin Wade,2012,g12,25.9431744134872,177.8,87.089664,6.87
Mike Goodson,2009,g11,17.6751249885008,182.88,94.347136,6.89
D.J. Cooper,2000,g10,-14.536632732668,190.5,125.644984,7.41
Noah Spence,2016,g11,-2.47873458669911,187.96,113.851592,7.21
Lorne Sam,2008,g12,11.1679363265089,187.96,99.79024,7.11
Jonas Mouton,2011,g11,3.41615088878869,185.42,108.408488,7.08
Curtis Gatewood,2008,g11,-1.15808901445316,187.96,112.490816,6.9
Chris Houston,2007,g12,29.0246807487277,177.8,83.91452,6.94
Maurice Brown,2004,g12,12.8327578902657,182.88,99.336648,7.38
Paul McQuistan,2006,g10,-31.7810739683827,198.12,141.520704,7.72
Jayron Kearse,2016,g12,11.7041907164955,193.04,97.975872,7.06
Zach Miller,2007,g11,-5.90441691345042,193.04,116.119552,7.01
Lee Mays,2002,g12,24.9866952354724,185.42,86.18248,7.08
Matt Hennessy,2020,g10,-28.3553916416314,193.04,139.252744,7.45
Tony Bergstrom,2012,g10,-31.6089859726273,195.58,141.974296,7.95
Gabe Ikard,2014,g10,-27.0347460693855,193.04,137.891968,7.3
Larry Birdine,2007,g11,-8.10549286719365,193.04,118.387512,7.47
Jason Ball,2002,g10,-24.4894941241315,187.96,136.531192,7.87
Gabe Jackson,2014,g10,-40.5093289868381,190.5,152.406912,8.25
Rashad Jennings,2009,g11,6.93787241477786,185.42,104.779752,6.86
Blaise Andries,2022,g10,-30.0202132053881,198.12,139.706336,7.84
Corey Liuget,2011,g10,-23.1688485518855,187.96,135.170416,7.48
James Starks,2010,g11,12.0483667080062,187.96,98.883056,6.89
Nathan Williams,2013,g11,1.31111413428333,190.5,109.315672,6.99
Kyle Vanden Bosch,2001,g11,-12.0674295839315,193.04,122.46984,6.82
Allen Bradford,2011,g11,3.32011168955084,180.34,109.769264,6.97
Pearce Slater,2016,g10,-39.8770353976137,200.66,149.231768,8.36
Julius Wilson,2007,g10,-37.1596954566043,193.04,148.324584,8.33
Tyler Polumbus,2008,g10,-32.3933771548868,200.66,141.520704,7.71
Jordan Beck,2005,g11,5.44513884677653,187.96,105.686936,7.11
Travis Swanson,2014,g10,-31.1687707818787,195.58,141.520704,7.73
Steve Schilling,2011,g10,-28.79560683238,193.04,139.706336,7.73
Eno Benjamin,2020,g11,19.9522497387616,175.26,93.893544,6.97
Andre Williams,2014,g11,8.60269397853459,180.34,104.32616,7.27
Garrett Reynolds,2009,g10,-31.6850347691449,203.2,140.159928,7.87
Jarvis Green,2002,g11,-12.3355567789247,190.5,123.377024,7.52
Jahvid Best,2010,g11,22.8616680782467,177.8,90.264808,6.75
Jerel Worthy,2012,g10,-27.571000459372,187.96,139.706336,7.6
Morris Claiborne,2012,g12,27.0917319899778,180.34,85.275296,7.01
Reed Doughty,2006,g12,17.2349097977521,182.88,94.800728,6.66
B.J. Goodson,2016,g11,2.09550531654276,185.42,109.769264,7.05
Cody Barton,2019,g11,3.68427808378194,187.96,107.501304,6.9
Justice Cunningham,2013,g11,-6.17254410844367,190.5,117.026736,7.12
AJ Dillon,2020,g11,0.506732549303566,182.88,112.037224,7.19
Michael Oher,2009,g10,-29.2358220231287,193.04,140.159928,7.81
Kendrick Clancy,2000,g10,-15.9533175041518,185.42,128.366536,7.98
Jarvis Jenkins,2011,g10,-29.6760372138773,193.04,140.61352,7.42
Chris Henry,2007,g11,8.60269397853459,180.34,104.32616,6.96
Montrae Holland,2003,g10,-37.9640770415841,185.42,151.046136,8.46
Eddie Royal,2008,g12,29.4648959394764,177.8,83.460928,7.07
Robert Herron,2014,g12,26.1152624092426,175.26,87.543256,6.84
Jonathan Jones,2016,g12,29.1967687444831,175.26,84.368112,7.25
Scott Young,2005,g10,-30.5564675953746,193.04,141.520704,7.46
Adam Grant,2011,g10,-37.5038714481151,198.12,147.4174,8.25
Alterraun Verner,2010,g12,27.2638199857332,177.8,85.728888,6.7
Jahri Evans,2006,g10,-32.3173283583692,193.04,143.335072,7.97
David Wilson,2012,g11,19.7801617430062,177.8,93.439952,7.09
Antwan Peek,2003,g11,-0.889961819459908,190.5,111.583632,7.07
Henry Josey,2014,g11,26.287350404998,172.72,87.996848,7.07
Tedric Thompson,2017,g12,19.4359857514954,182.88,92.532768,7.11
Ladarius Gunter,2015,g12,19.7041129464886,185.42,91.625584,7.18
Reggie Austin,2000,g12,34.0391358427183,175.26,79.3786,7.03
Zach Thomas,2022,g10,-29.4079100188841,195.58,139.706336,7.4
Morgan Trent,2009,g12,23.6660496632264,185.42,87.543256,7.05
Darell Scott,2009,g10,-29.9441644088706,190.5,141.520704,8.28
Leonard Henry,2002,g11,17.943252183494,185.42,93.439952,7.11
Tony Pape,2004,g10,-36.6234410666178,198.12,146.510216,8.01
Nevelle Clarke,2020,g12,24.9866952354724,185.42,86.18248,6.88
Matt Peart,2020,g10,-35.0346682993786,200.66,144.242256,8.01
Rishard Matthews,2012,g12,13.713188271763,182.88,98.429464,6.88
Jadeveon Clowney,2014,g11,-10.9188720074409,195.58,120.655472,7.27
Justin Reid,2018,g12,18.8236825649913,185.42,92.532768,6.65
DaQuan Jones,2014,g10,-34.9586195028611,193.04,146.056624,7.73
Cassius Marsh,2014,g11,-4.14355615045583,193.04,114.305184,7.08
Ross Blacklock,2020,g10,-20.2594302124004,190.5,131.54168,7.77
Kaulana Noa,2000,g10,-32.7575435491179,193.04,143.788664,7.82
Gaines Adams,2007,g11,-7.39715048145176,195.58,117.026736,7.17
Jarvis Harrison,2015,g10,-38.4803410288503,193.04,149.68536,7.51
Joshua Kelley,2020,g11,16.5265674120102,180.34,96.161504,6.95
Todd Blythe,2008,g12,11.9723179114887,195.58,97.068688,6.92
Chris Bell,2010,g12,15.1298730432468,187.96,95.707912,6.76
Vontez Duff,2004,g12,20.4885041287481,180.34,92.079176,6.94
Drew Sample,2019,g11,-6.07650490920582,195.58,115.66596,7.15
Evan Boehm,2016,g10,-24.9297093148801,187.96,136.984784,7.52
Blair Phillips,2007,g11,1.65529012579411,185.42,110.222856,7.01
A.J. Hawk,2006,g11,-0.545785827949126,185.42,112.490816,6.82
Za'Darius Smith,2015,g11,-13.8282903469261,193.04,124.284208,7.42
Darnell Bing,2006,g12,8.08642999126841,187.96,102.965384,7.25
Joe Klopfenstein,2006,g11,-6.68880809570985,198.12,115.66596,7.39
Taiwan Jones,2015,g11,-0.449746628711261,190.5,111.13004,7.25
Jeff King,2006,g11,-1.67435300171934,195.58,111.13004,6.99
John Howell,2001,g12,19.4359857514954,182.88,92.532768,6.87
David Fluellen,2014,g11,11.2439851230265,180.34,101.604608,6.9
Darren Davis,2000,g11,28.4884263587412,172.72,85.728888,7.04
Donnie O'Neal,2002,g12,24.5464800447237,185.42,86.636072,6.9
Chad Ward,2001,g10,-34.5184043121124,193.04,145.603032,7.98
Jason Strowbridge,2020,g10,-14.2685055376747,193.04,124.7378,7.45
Rashan Gary,2019,g10,-15.148935919172,193.04,125.644984,7.26
Marquess Wilson,2013,g12,22.0012280994697,190.5,87.996848,6.65
Avery Gennesy,2017,g10,-32.5854555533625,190.5,144.242256,8.08
Philip Lutzenkirchen,2013,g11,-6.17254410844367,190.5,117.026736,7.15
Geneo Grissom,2015,g11,-7.93340487143826,190.5,118.841104,7.24
Demarcus Dobbs,2011,g11,-15.6851903091585,187.96,127.459352,7.22
Nick Collins,2005,g12,19.1678585565021,180.34,93.439952,6.94
Jason Kelce,2011,g10,-15.8572783049139,190.5,127.00576,7.22
Chilo Rachal,2008,g10,-32.4894163541246,195.58,142.88148,8.01
Garrett Bradbury,2019,g10,-27.3028732643787,190.5,138.799152,7.41
Josh Robinson,2012,g12,22.8616680782467,177.8,90.264808,6.55
Kris Wilson,2004,g11,-1.15808901445316,187.96,112.490816,6.88
Ugo Chinasa,2011,g11,-10.0384416259436,195.58,119.748288,7.07
Anthony Gonzalez,2007,g12,24.2783528497305,182.88,87.543256,6.54
Trevor Gaylor,2000,g12,19.8001521457265,190.5,90.264808,7.03
Chad Johnson,2001,g12,24.1062648539751,185.42,87.089664,7.51
Jalin Marshall,2016,g12,22.421452887498,177.8,90.7184,6.8
Quincy Adeboyejo,2017,g12,20.6805825272238,190.5,89.357624,6.73
Andy Isabella,2019,g12,28.3163383629858,175.26,85.275296,6.95
C.J. Wilson,2007,g12,22.7856192817292,185.42,88.45044,6.81
Vincent Taylor,2017,g10,-26.4224428828814,190.5,137.891968,7.58
Khalid Wooten,2013,g12,17.4069977935075,180.34,95.25432,6.95
Kader Drame,2006,g10,-21.4840365854084,195.58,131.54168,8.12
Hunter Sharp,2016,g12,22.6895800824913,180.34,89.811216,7.12
Sharrif Floyd,2013,g10,-23.3409365476409,190.5,134.716824,7.4
Orlando Brown,2018,g10,-47.5327816360961,203.2,156.48924,7.87
Quintin Williams,2004,g12,18.7276433657535,180.34,93.893544,7.28
Conner Vernon,2013,g12,22.9577072774845,182.88,88.904032,6.93
Joel Heath,2016,g10,-22.8046821576544,195.58,132.902456,7.44
Andre Chachere,2018,g12,21.19684651449,182.88,90.7184,6.78
Stephen Nicholas,2007,g11,6.49765722402922,185.42,105.233344,7.29
Samuel Lightbody,2005,g10,-37.5799202446327,205.74,145.603032,7.95
Ryan Mathews,2010,g11,13.2729730810143,182.88,98.883056,7
Doug Gabriel,2003,g12,14.2494426617495,187.96,96.615096,7.05
Destry Wright,2000,g11,14.7657066490157,180.34,97.975872,7.15
Scott Fujita,2002,g11,-2.99499857396529,195.58,112.490816,7.09
Shea McClellin,2012,g11,-7.05297448994097,190.5,117.93392,7.07
Rahim Alem,2010,g11,-3.09103777320314,190.5,113.851592,7.54
Adam Kieft,2005,g10,-43.3987569236029,200.66,152.860504,7.78
Luke Fortner,2022,g10,-28.3553916416314,193.04,139.252744,7.75
Alex Cappa,2018,g10,-28.6995676331422,198.12,138.34556,8.04
Myles Gaskin,2019,g11,20.8326801202588,175.26,92.98636,7.19
Dan Gay,2009,g10,-28.79560683238,193.04,139.706336,8.67
Shawn Draper,2001,g10,-25.9822276921328,190.5,137.438376,8.1
Jace Sayler,2001,g10,-23.244897348403,195.58,133.356048,7.81
Micah Kiser,2018,g11,3.24406289303329,187.96,107.954896,7.05
Marviel Underwood,2005,g12,20.2203769337548,177.8,92.98636,7.12
Rannell Hall,2015,g12,22.0772768959873,182.88,89.811216,6.86
Julian Vandervelde,2011,g10,-24.4894941241315,187.96,136.531192,7.46
Darrell Campbell,2004,g10,-26.1543156878882,193.04,136.984784,7.63
Louis Williams,2001,g10,-24.8336701156422,193.04,135.624008,7.86
Buster Davis,2007,g11,5.86536363480485,175.26,108.408488,7.28
Cedric Pittman,2000,g11,-7.49318968068962,190.5,118.387512,7.75
Kelvin Hayden,2005,g12,23.742098459744,177.8,89.357624,6.87
D'Juan Woods,2007,g12,17.6751249885008,182.88,94.347136,6.89
Keanu Neal,2016,g12,16.3544794162549,182.88,95.707912,7.09
Shane Olivea,2004,g10,-25.5420125013841,190.5,136.984784,8.25
Chris Cooper,2001,g11,-13.5601631519328,195.58,123.377024,7.12
Brian Cushing,2009,g11,0.430683752786034,190.5,110.222856,6.84
Paul Posluszny,2007,g11,3.24406289303329,187.96,107.954896,6.94
Dezmon Briscoe,2010,g12,16.8907338062413,187.96,93.893544,7.1
Margus Hunt,2013,g11,-17.5981486651882,203.2,125.644984,7.07
Nate Swift,2009,g12,19.26389775574,185.42,92.079176,6.78
Wyatt Teller,2018,g10,-31.4368979768719,193.04,142.427888,7.45
Emile White,2001,g12,12.8327578902657,182.88,99.336648,7.26
Dahrran Diedrick,2003,g11,8.87082117352785,182.88,103.418976,7.32
Marvin Philip,2006,g10,-26.5184820821193,185.42,139.252744,7.85
Greg Orton,2009,g12,16.2784306197373,190.5,93.893544,6.9
Justin Rogers,2011,g12,31.225756702471,177.8,81.64656,7.21
Joshua Miles,2019,g10,-32.049201163376,195.58,142.427888,8.07
Luke Kuechly,2012,g11,0.870898943534681,190.5,109.769264,6.92
Xavier Su'a-Filo,2014,g10,-28.3553916416314,193.04,139.252744,7.6
Jordan Najvar,2014,g11,-7.1290232864585,198.12,116.119552,7.14
Aldrick Robinson,2011,g12,29.4648959394764,177.8,83.460928,6.65
Terrence Frederick,2012,g12,28.1442503672304,177.8,84.821704,6.59
Rick Sherrod,2002,g12,23.4939616674711,187.96,87.089664,7.09
Derrick Ross,2006,g11,10.9758579280332,177.8,102.511792,7
Marshall Williams,2011,g12,25.8671256169697,185.42,85.275296,6.61
Travis Feeney,2016,g11,5.54117804601439,193.04,104.32616,7.2
Rashad Holman,2001,g12,27.9721623714751,180.34,84.368112,7.09
Brett Romberg,2003,g10,-21.8482029796396,187.96,133.80964,8.16
Kevin Garrett,2003,g12,25.675047218494,175.26,87.996848,6.9
Scott Ware,2006,g12,12.6606698945103,185.42,98.883056,7.05
Stefon Diggs,2015,g12,23.3979224682332,182.88,88.45044,7.03
Nick Maddox,2003,g11,16.9667826027589,180.34,95.707912,7.33
Albert Wilson,2014,g12,22.1533256925048,175.26,91.625584,7
Nate Triplett,2010,g11,-2.6508225824545,190.5,113.398,7.02
Justin Hickman,2007,g11,-3.18707697244101,185.42,115.212368,7.06
Ronnie Brown,2005,g11,6.66974521978461,182.88,105.686936,7.1
Nick Rogers,2002,g11,-2.47873458669911,187.96,113.851592,7.02
Dalton Schultz,2018,g11,-1.2341378109707,195.58,110.676448,7
Anthony Henry,2001,g12,21.4649737094832,185.42,89.811216,6.9
Travelle Wharton,2004,g10,-30.5564675953746,193.04,141.520704,8.31
Manese Foketi,2013,g10,-33.8100619263706,195.58,144.242256,8.11
J.R. Tolver,2003,g12,19.7041129464886,185.42,91.625584,6.99
Rod Babers,2003,g12,26.5554775999913,175.26,87.089664,6.83
Chris Jones,2016,g10,-30.9006435868854,198.12,140.61352,7.44
Bo Melton,2022,g12,26.6515167992291,180.34,85.728888,6.98
Mario Haggan,2003,g11,-3.53125296395179,190.5,114.305184,7.55
Jay Bromley,2014,g10,-27.3028732643787,190.5,138.799152,7.92
Cyril Richardson,2014,g10,-38.6524290246057,195.58,149.231768,7.7
Dante Wesley,2002,g12,15.7421762297508,185.42,95.707912,7.25
Steve Edwards,2002,g10,-50.0980239840705,195.58,161.02516,8.37
Curtis Taylor,2009,g12,16.0103034247441,187.96,94.800728,7.25
Cheta Ozougwu,2011,g11,-0.717873823704517,187.96,112.037224,7.06
Noah Fant,2019,g11,-2.82291057820989,193.04,112.944408,6.81
Coty Sensabaugh,2012,g12,26.6515167992291,180.34,85.728888,6.6
Trey Walker,2018,g12,19.9722401414819,187.96,90.7184,7
Joel Bitonio,2014,g10,-26.1543156878882,193.04,136.984784,7.37
Antwan Barnes,2007,g11,2.97593569804005,185.42,108.86208,7.29
Isaiah Pead,2012,g11,23.742098459744,177.8,89.357624,6.95
Joseph Addai,2006,g11,15.6461370305129,180.34,97.068688,7.09
Loni Fangupo,2012,g10,-33.5619251340976,185.42,146.510216,7.94
Marvin Austin,2011,g10,-28.0112156501206,187.96,140.159928,7.33
Jordan Black,2003,g10,-32.66150434988,198.12,142.427888,7.65
James Marten,2007,g10,-31.0727315826408,200.66,140.159928,7.68
Kwame Harris,2003,g10,-31.5129467733895,200.66,140.61352,7.98
Greg Dulcich,2022,g11,-0.181619433718005,193.04,110.222856,7.05
Terrence Kiel,2003,g12,20.0482889379994,180.34,92.532768,6.88
Daniel Te'o-Nesheim,2010,g11,-8.37362006218691,190.5,119.294696,6.91
DonTrell Moore,2006,g11,18.0193009800116,177.8,95.25432,7.1
Andy Alleman,2007,g10,-27.4749612601341,193.04,138.34556,7.8
Nik Bonitto,2022,g11,-1.7703922009572,190.5,112.490816,7.07
Tyler Nielsen,2012,g11,2.63175970652926,190.5,107.954896,7.27
Tim Manning,2004,g12,31.0536687067156,180.34,81.192968,7.24
Arthur Moats,2010,g11,0.946947740052213,182.88,111.583632,7.22
Jared Perry,2010,g12,30.2692775244562,185.42,80.739376,6.75
Matthew Thomas,2018,g11,5.27305085102114,190.5,105.233344,6.85
Josh Davis,2004,g11,22.421452887498,177.8,90.7184,7.27
Brandon Thompson,2012,g10,-30.2122916038639,187.96,142.427888,7.97
Nick Gates,2018,g10,-28.9676948281355,195.58,139.252744,7.61
Elgton Jenkins,2019,g10,-29.6760372138773,193.04,140.61352,7.77
Kendrick Bourne,2017,g12,19.26389775574,185.42,92.079176,6.73
Jalen Jelks,2019,g11,-6.51672009995446,195.58,116.119552,7.22
Justin Jones,2018,g10,-28.0112156501206,187.96,140.159928,7.82
Marcus McClinton,2009,g12,16.7946946070035,182.88,95.25432,7.45
Odell Thurman,2005,g11,6.66974521978461,182.88,105.686936,7.47
Lane Johnson,2013,g10,-27.8191372516449,198.12,137.438376,7.31
Jordan Lomax,2016,g12,21.5410225060007,177.8,91.625584,7.18
Vontae Davis,2009,g12,20.4885041287481,180.34,92.079176,6.75
David Thomas,2006,g11,-3.53125296395179,190.5,114.305184,7.05
Larry Burt,2005,g10,-25.8101396963774,187.96,137.891968,8.03
Tellis Redmon,2002,g11,17.4069977935075,180.34,95.25432,7.08
